기준_년_코드,기준_분기_코드,상권_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,상권_변화_지표,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,아파트_단지_수,아파트_평균_시가,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,종합병원_수,일반_병원_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수,상권_구분_코드_D,상권_구분_코드_R,상권_구분_코드_U,젠트리_여부,예측_clust
2023,1,3120153,942528019,213079504,130560644,111335549,122401663,38947118,36881064,173685311,49162606,2,121,57,104,52,10,216935076,1690283,926452,763831,124461,639408,183549,174882,238953,309353,354309,243118,250844,339463,193196,240222,245425,248231,251559,252834,241071,210940,71,0,0,0,0,0,0,0,2,2,20,1,0,0,0,1
2023,1,3120154,318035037,88125267,39643641,40486893,50945029,11522616,11146471,35435935,14433753,2,149,58,104,52,15,183825000,466423,210263,256159,81746,70652,72863,63471,105613,74267,91239,69996,75427,99802,55689,67164,66873,66678,67804,67704,67019,63181,56,0,0,0,0,0,1,0,1,1,13,1,0,0,0,1
2023,1,3120155,925070925,237066128,111623388,115019848,148426499,38336101,27864511,140732490,36880551,4,71,48,104,52,27,189413661,141503,64769,76734,26766,18244,23600,19574,30572,41623,30623,14189,14200,21089,19781,20260,20159,20096,19881,19279,20659,21169,8,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1
2023,1,3120156,1929351454,485187595,235823585,236097899,323877395,74659247,59308506,284064080,82219996,2,116,52,104,52,33,342798443,3746890,1718411,2028479,520177,622615,592673,537094,838886,623212,683266,533321,592966,845019,469104,521457,532029,535110,535306,557568,560152,505267,149,0,2,0,0,0,0,1,2,2,18,1,0,0,0,1
2023,1,3120158,1339518927,277294373,189474197,150799333,163617302,54295557,53245869,292458361,72641048,1,110,49,104,52,2,177522727,777526,441499,336027,53848,252391,108535,85918,128496,182038,148766,98347,104830,142687,100857,111088,111744,111974,111542,111188,110842,109149,42,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1
2023,1,3120161,757059162,182360220,91249706,88753377,126768350,28089317,22460341,128540159,31960102,2,118,61,104,52,37,314968329,421418,197551,223867,77421,48152,81331,66325,93661,118259,85750,49032,47428,66319,54629,60183,60043,61260,60852,60867,58756,59457,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1
2023,1,3120162,1475718498,336342546,183725311,165835381,259504229,62160755,42501196,251196344,62788769,1,136,49,104,52,29,334585215,502506,236549,265956,95383,59167,101258,81252,98950,116357,100022,65116,67061,92377,61574,70555,71316,72206,72199,72333,72563,71334,22,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1
2023,1,3120163,1495154155,378023755,180722410,185069437,250632682,54419738,44348765,232529014,63354321,4,89,42,104,52,63,459270025,1601526,701730,899797,289901,191002,247662,213329,415575,479451,334295,169960,166220,238289,213307,226016,225615,227612,226296,226470,233244,236273,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2023,1,3120164,1793706422,420122785,219674531,209907175,315156223,71779649,51631084,296883648,75623902,2,119,54,104,52,63,362156631,1378876,624838,754038,210632,184353,245687,198045,292022,272498,283214,198542,201149,261486,161988,200848,203524,204557,206600,204748,183794,174807,78,0,1,0,3,0,0,0,0,1,18,1,0,0,0,1
2023,1,3120165,1179112807,262785552,149770946,135957532,213645135,56226828,32780510,190070121,49305793,2,107,52,104,52,45,551565249,869068,402896,466173,212185,74115,173034,128423,173140,216170,181480,114951,111621,141840,103006,124713,125710,125404,126849,126516,123608,116270,35,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1
